Model,MSO4034B
Firmware Version,2.96
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0.0001472
Sample Interval,2.00E-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.94
,
,
,
Label,
TIME,CH1
-7.56E-04,0.37
-7.56E-04,0.37
-7.56E-04,0.37
-7.55E-04,0.37
-7.55E-04,0.37
-7.55E-04,0.37
-7.55E-04,0.39
-7.55E-04,0.39
-7.54E-04,0.37
-7.54E-04,0.37
-7.54E-04,0.37
-7.54E-04,0.37
-7.54E-04,0.37
-7.53E-04,0.39
-7.53E-04,0.37
-7.53E-04,0.37
-7.53E-04,0.37
-7.53E-04,0.35
-7.52E-04,0.35
-7.52E-04,0.37
-7.52E-04,0.37
-7.52E-04,0.39
-7.52E-04,0.37
-7.51E-04,0.37
-7.51E-04,0.35
-7.51E-04,0.37
-7.51E-04,0.37
-7.51E-04,0.37
-7.50E-04,0.39
-7.50E-04,0.37
-7.50E-04,0.37
-7.50E-04,0.37
-7.50E-04,0.37
-7.49E-04,0.39
-7.49E-04,0.39
-7.49E-04,0.35
-7.49E-04,0.37
-7.49E-04,0.39
-7.48E-04,0.37
-7.48E-04,0.37
-7.48E-04,0.37
-7.48E-04,0.37
-7.48E-04,0.37
-7.47E-04,0.37
-7.47E-04,0.41
-7.47E-04,0.39
-7.47E-04,0.39
-7.47E-04,0.39
-7.46E-04,0.35
-7.46E-04,0.35
-7.46E-04,0.37
-7.46E-04,0.39
-7.46E-04,0.37
-7.45E-04,0.37
-7.45E-04,0.37
-7.45E-04,0.37
-7.45E-04,0.37
-7.45E-04,0.37
-7.44E-04,0.37
-7.44E-04,0.31
-7.44E-04,0.35
-7.44E-04,0.37
-7.44E-04,0.37
-7.43E-04,0.37
-7.43E-04,0.37
-7.43E-04,0.35
-7.43E-04,0.37
-7.43E-04,0.37
-7.42E-04,0.35
-7.42E-04,0.37
-7.42E-04,0.37
-7.42E-04,0.37
-7.42E-04,0.39
-7.41E-04,0.39
-7.41E-04,0.39
-7.41E-04,0.37
-7.41E-04,0.37
-7.41E-04,0.37
-7.40E-04,0.37
-7.40E-04,0.39
-7.40E-04,0.39
-7.40E-04,0.37
-7.40E-04,0.37
-7.39E-04,0.37
-7.39E-04,0.39
-7.39E-04,0.37
-7.39E-04,0.39
-7.39E-04,0.35
-7.38E-04,0.37
-7.38E-04,0.39
-7.38E-04,0.37
-7.38E-04,0.37
-7.38E-04,0.35
-7.37E-04,0.37
-7.37E-04,0.37
-7.37E-04,0.39
-7.37E-04,0.35
-7.37E-04,0.37
-7.36E-04,0.35
-7.36E-04,0.37
-7.36E-04,0.37
-7.36E-04,0.37
-7.36E-04,0.39
-7.35E-04,0.35
-7.35E-04,0.39
-7.35E-04,0.37
-7.35E-04,0.35
-7.35E-04,0.35
-7.34E-04,0.37
-7.34E-04,0.37
-7.34E-04,0.37
-7.34E-04,0.35
-7.34E-04,0.35
-7.33E-04,0.35
-7.33E-04,0.37
-7.33E-04,0.37
-7.33E-04,0.37
-7.33E-04,0.37
-7.32E-04,0.35
-7.32E-04,0.37
-7.32E-04,0.39
-7.32E-04,0.37
-7.32E-04,0.37
-7.31E-04,0.37
-7.31E-04,0.37
-7.31E-04,0.37
-7.31E-04,0.37
-7.31E-04,0.37
-7.30E-04,0.37
-7.30E-04,0.39
-7.30E-04,0.37
-7.30E-04,0.37
-7.30E-04,0.37
-7.29E-04,0.35
-7.29E-04,0.37
-7.29E-04,0.35
-7.29E-04,0.37
-7.29E-04,0.37
-7.28E-04,0.37
-7.28E-04,0.39
-7.28E-04,0.39
-7.28E-04,0.37
-7.28E-04,0.39
-7.27E-04,0.39
-7.27E-04,0.37
-7.27E-04,0.39
-7.27E-04,0.37
-7.27E-04,0.37
-7.26E-04,0.39
-7.26E-04,0.37
-7.26E-04,0.39
-7.26E-04,0.37
-7.26E-04,0.37
-7.25E-04,0.39
-7.25E-04,0.37
-7.25E-04,0.35
-7.25E-04,0.37
-7.25E-04,0.37
-7.24E-04,0.37
-7.24E-04,0.39
-7.24E-04,0.37
-7.24E-04,0.35
-7.24E-04,0.37
-7.23E-04,0.37
-7.23E-04,0.37
-7.23E-04,0.37
-7.23E-04,0.37
-7.23E-04,0.37
-7.22E-04,0.39
-7.22E-04,0.37
-7.22E-04,0.37
-7.22E-04,0.37
-7.22E-04,0.35
-7.21E-04,0.37
-7.21E-04,0.41
-7.21E-04,0.37
-7.21E-04,0.37
-7.21E-04,0.37
-7.20E-04,0.39
-7.20E-04,0.37
-7.20E-04,0.39
-7.20E-04,0.39
-7.20E-04,0.37
-7.19E-04,0.37
-7.19E-04,0.37
-7.19E-04,0.37
-7.19E-04,0.35
-7.19E-04,0.39
-7.18E-04,0.39
-7.18E-04,0.37
-7.18E-04,0.37
-7.18E-04,0.37
-7.18E-04,0.37
-7.17E-04,0.37
-7.17E-04,0.39
-7.17E-04,0.51
-7.17E-04,0.35
-7.17E-04,0.37
-7.16E-04,0.35
-7.16E-04,0.35
-7.16E-04,0.37
-7.16E-04,0.37
-7.16E-04,0.37
-7.15E-04,0.39
-7.15E-04,0.37
-7.15E-04,0.39
-7.15E-04,0.37
-7.15E-04,0.37
-7.14E-04,0.39
-7.14E-04,0.37
-7.14E-04,0.37
-7.14E-04,0.39
-7.14E-04,0.37
-7.13E-04,0.37
-7.13E-04,0.37
-7.13E-04,0.37
-7.13E-04,0.39
-7.13E-04,0.37
-7.12E-04,0.37
-7.12E-04,0.37
-7.12E-04,0.37
-7.12E-04,0.37
-7.12E-04,0.37
-7.11E-04,0.39
-7.11E-04,0.37
-7.11E-04,0.37
-7.11E-04,0.35
-7.11E-04,0.37
-7.10E-04,0.37
-7.10E-04,0.37
-7.10E-04,0.37
-7.10E-04,0.37
-7.10E-04,0.39
-7.09E-04,0.37
-7.09E-04,0.37
-7.09E-04,0.37
-7.09E-04,0.35
-7.09E-04,0.39
-7.08E-04,0.37
-7.08E-04,0.37
-7.08E-04,0.39
-7.08E-04,0.37
-7.08E-04,0.39
-7.07E-04,0.37
-7.07E-04,0.37
-7.07E-04,0.39
-7.07E-04,0.39
-7.07E-04,0.39
-7.06E-04,0.37
-7.06E-04,0.37
-7.06E-04,0.39
-7.06E-04,0.37
-7.06E-04,0.37
-7.05E-04,0.37
-7.05E-04,0.37
-7.05E-04,0.41
-7.05E-04,0.37
-7.05E-04,0.39
-7.04E-04,0.35
-7.04E-04,0.35
-7.04E-04,0.37
-7.04E-04,0.37
-7.04E-04,0.39
-7.03E-04,0.37
-7.03E-04,0.37
-7.03E-04,0.39
-7.03E-04,0.39
-7.03E-04,0.37
-7.02E-04,0.37
-7.02E-04,0.37
-7.02E-04,0.37
-7.02E-04,0.37
-7.02E-04,0.37
-7.01E-04,0.37
-7.01E-04,0.37
-7.01E-04,0.37
-7.01E-04,0.43
-7.01E-04,0.35
-7.00E-04,0.37
-7.00E-04,0.39
-7.00E-04,0.37
-7.00E-04,0.35
-7.00E-04,0.39
-6.99E-04,0.37
-6.99E-04,0.37
-6.99E-04,0.41
-6.99E-04,0.37
-6.99E-04,0.37
-6.98E-04,0.35
-6.98E-04,0.37
-6.98E-04,0.39
-6.98E-04,0.39
-6.98E-04,0.39
-6.97E-04,0.37
-6.97E-04,0.37
-6.97E-04,0.37
-6.97E-04,0.37
-6.97E-04,0.37
-6.96E-04,0.39
-6.96E-04,0.39
-6.96E-04,0.37
-6.96E-04,0.37
-6.96E-04,0.37
-6.95E-04,0.37
-6.95E-04,0.39
-6.95E-04,0.37
-6.95E-04,0.37
-6.95E-04,0.37
-6.94E-04,0.37
-6.94E-04,0.39
-6.94E-04,0.37
-6.94E-04,0.37
-6.94E-04,0.39
-6.93E-04,0.37
-6.93E-04,0.39
-6.93E-04,0.37
-6.93E-04,0.37
-6.93E-04,0.37
-6.92E-04,0.35
-6.92E-04,0.37
-6.92E-04,0.39
-6.92E-04,0.37
-6.92E-04,0.37
-6.91E-04,0.37
-6.91E-04,0.37
-6.91E-04,0.37
-6.91E-04,0.35
-6.91E-04,0.35
-6.90E-04,0.39
-6.90E-04,0.37
-6.90E-04,0.39
-6.90E-04,0.37
-6.90E-04,0.37
-6.89E-04,0.37
-6.89E-04,0.37
-6.89E-04,0.37
-6.89E-04,0.35
-6.89E-04,0.37
-6.88E-04,0.37
-6.88E-04,0.37
-6.88E-04,0.39
-6.88E-04,0.39
-6.88E-04,0.37
-6.87E-04,0.37
-6.87E-04,0.37
-6.87E-04,0.37
-6.87E-04,0.37
-6.87E-04,0.35
-6.86E-04,0.37
-6.86E-04,0.35
-6.86E-04,0.37
-6.86E-04,0.41
-6.86E-04,0.39
-6.85E-04,0.35
-6.85E-04,0.35
-6.85E-04,0.39
-6.85E-04,0.39
-6.85E-04,0.39
-6.84E-04,0.37
-6.84E-04,0.37
-6.84E-04,0.37
-6.84E-04,0.37
-6.84E-04,0.41
-6.83E-04,0.37
-6.83E-04,0.39
-6.83E-04,0.37
-6.83E-04,0.39
-6.83E-04,0.37
-6.82E-04,0.37
-6.82E-04,0.39
-6.82E-04,0.37
-6.82E-04,0.37
-6.82E-04,0.37
-6.81E-04,0.35
-6.81E-04,0.35
-6.81E-04,0.37
-6.81E-04,0.37
-6.81E-04,0.37
-6.80E-04,0.39
-6.80E-04,0.37
-6.80E-04,0.37
-6.80E-04,0.39
-6.80E-04,0.39
-6.79E-04,0.41
-6.79E-04,0.37
-6.79E-04,0.37
-6.79E-04,0.37
-6.79E-04,0.37
-6.78E-04,0.37
-6.78E-04,0.37
-6.78E-04,0.39
-6.78E-04,0.37
-6.78E-04,0.37
-6.77E-04,0.37
-6.77E-04,0.39
-6.77E-04,0.39
-6.77E-04,0.37
-6.77E-04,0.39
-6.76E-04,0.37
-6.76E-04,0.37
-6.76E-04,0.37
-6.76E-04,0.37
-6.76E-04,0.37
-6.75E-04,0.37
-6.75E-04,0.37
-6.75E-04,0.37
-6.75E-04,0.37
-6.75E-04,0.37
-6.74E-04,0.37
-6.74E-04,0.35
-6.74E-04,0.37
-6.74E-04,0.37
-6.74E-04,0.35
-6.73E-04,0.35
-6.73E-04,0.39
-6.73E-04,0.39
-6.73E-04,0.35
-6.73E-04,0.37
-6.72E-04,0.35
-6.72E-04,0.35
-6.72E-04,0.37
-6.72E-04,0.37
-6.72E-04,0.37
-6.71E-04,0.39
-6.71E-04,0.37
-6.71E-04,0.35
-6.71E-04,0.37
-6.71E-04,0.37
-6.70E-04,0.37
-6.70E-04,0.37
-6.70E-04,0.37
-6.70E-04,0.39
-6.70E-04,0.37
-6.69E-04,0.37
-6.69E-04,0.37
-6.69E-04,0.37
-6.69E-04,0.39
-6.69E-04,0.37
-6.68E-04,0.37
-6.68E-04,0.37
-6.68E-04,0.39
-6.68E-04,0.37
-6.68E-04,0.37
-6.67E-04,0.35
-6.67E-04,0.41
-6.67E-04,0.25
-6.67E-04,0.37
-6.67E-04,0.39
-6.66E-04,0.39
-6.66E-04,0.39
-6.66E-04,0.37
-6.66E-04,0.37
-6.66E-04,0.37
-6.65E-04,0.41
-6.65E-04,0.37
-6.65E-04,0.37
-6.65E-04,0.39
-6.65E-04,0.39
-6.64E-04,0.39
-6.64E-04,0.37
-6.64E-04,0.37
-6.64E-04,0.39
-6.64E-04,0.37
-6.63E-04,0.39
-6.63E-04,0.37
-6.63E-04,0.37
-6.63E-04,0.37
-6.63E-04,0.37
-6.62E-04,0.37
-6.62E-04,0.41
-6.62E-04,0.37
-6.62E-04,0.37
-6.62E-04,0.39
-6.61E-04,0.39
-6.61E-04,0.37
-6.61E-04,0.37
-6.61E-04,0.33
-6.61E-04,0.39
-6.60E-04,0.39
-6.60E-04,0.37
-6.60E-04,0.37
-6.60E-04,0.37
-6.60E-04,0.39
-6.59E-04,0.37
-6.59E-04,0.37
-6.59E-04,0.37
-6.59E-04,0.37
-6.59E-04,0.35
-6.58E-04,0.37
-6.58E-04,0.37
-6.58E-04,0.37
-6.58E-04,0.35
-6.58E-04,0.39
-6.57E-04,0.37
-6.57E-04,0.37
-6.57E-04,0.37
-6.57E-04,0.37
-6.57E-04,0.37
-6.56E-04,0.37
-6.56E-04,0.37
-6.56E-04,0.37
-6.56E-04,0.37
-6.56E-04,0.37
-6.55E-04,0.37
-6.55E-04,0.37
-6.55E-04,0.37
-6.55E-04,0.37
-6.55E-04,0.37
-6.54E-04,0.39
-6.54E-04,0.37
-6.54E-04,0.39
-6.54E-04,0.37
-6.54E-04,0.37
-6.53E-04,0.39
-6.53E-04,0.39
-6.53E-04,0.37
-6.53E-04,0.37
-6.53E-04,0.37
-6.52E-04,0.37
-6.52E-04,0.37
-6.52E-04,0.37
-6.52E-04,0.37
-6.52E-04,0.37
-6.51E-04,0.37
-6.51E-04,0.37
-6.51E-04,0.37
-6.51E-04,0.35
-6.51E-04,0.33
-6.50E-04,0.37
-6.50E-04,0.37
-6.50E-04,0.39
-6.50E-04,0.35
-6.50E-04,0.37
-6.49E-04,0.37
-6.49E-04,0.37
-6.49E-04,0.37
-6.49E-04,0.37
-6.49E-04,0.37
-6.48E-04,0.37
-6.48E-04,0.37
-6.48E-04,0.35
-6.48E-04,0.37
-6.48E-04,0.37
-6.47E-04,0.37
-6.47E-04,0.37
-6.47E-04,0.37
-6.47E-04,0.37
-6.47E-04,0.37
-6.46E-04,0.39
-6.46E-04,0.37
-6.46E-04,0.37
-6.46E-04,0.37
-6.46E-04,0.35
-6.45E-04,0.37
-6.45E-04,0.35
-6.45E-04,0.39
-6.45E-04,0.37
-6.45E-04,0.37
-6.44E-04,0.37
-6.44E-04,0.37
-6.44E-04,0.37
-6.44E-04,0.37
-6.44E-04,0.35
-6.43E-04,0.39
-6.43E-04,0.37
-6.43E-04,0.37
-6.43E-04,0.37
-6.43E-04,0.37
-6.42E-04,0.41
-6.42E-04,0.35
-6.42E-04,0.39
-6.42E-04,0.37
-6.42E-04,0.37
-6.41E-04,0.37
-6.41E-04,0.37
-6.41E-04,0.37
-6.41E-04,0.37
-6.41E-04,0.37
-6.40E-04,0.37
-6.40E-04,0.37
-6.40E-04,0.39
-6.40E-04,0.41
-6.40E-04,0.35
-6.39E-04,0.35
-6.39E-04,0.35
-6.39E-04,0.37
-6.39E-04,0.39
-6.39E-04,0.37
-6.38E-04,0.37
-6.38E-04,0.37
-6.38E-04,0.37
-6.38E-04,0.39
-6.38E-04,0.37
-6.37E-04,0.37
-6.37E-04,0.37
-6.37E-04,0.39
-6.37E-04,0.35
-6.37E-04,0.37
-6.36E-04,0.37
-6.36E-04,0.37
-6.36E-04,0.37
-6.36E-04,0.37
-6.36E-04,0.39
-6.35E-04,0.37
-6.35E-04,0.39
-6.35E-04,0.35
-6.35E-04,0.37
-6.35E-04,0.37
-6.34E-04,0.39
-6.34E-04,0.35
-6.34E-04,0.37
-6.34E-04,0.37
-6.34E-04,0.35
-6.33E-04,0.37
-6.33E-04,0.37
-6.33E-04,0.37
-6.33E-04,0.39
-6.33E-04,0.37
-6.32E-04,0.37
-6.32E-04,0.37
-6.32E-04,0.39
-6.32E-04,0.37
-6.32E-04,0.39
-6.31E-04,0.35
-6.31E-04,0.37
-6.31E-04,0.37
-6.31E-04,0.41
-6.31E-04,0.37
-6.30E-04,0.37
-6.30E-04,0.37
-6.30E-04,0.37
-6.30E-04,0.37
-6.30E-04,0.37
-6.29E-04,0.37
